Latitude, Longitude, Month, Day, Year, Hour, Minute, Second
 3256.429, -7805.830,   03, 16, 2012,  12,  32,  44 
 3256.421, -7805.759,   03, 16, 2012,  12,  56,  45 
 3256.419, -7805.752,   03, 16, 2012,  12,  57,  21 
 3256.420, -7805.727,   03, 16, 2012,  13,  00,  41 
 3256.416, -7805.708,   03, 16, 2012,  13,  02,  13 
 3256.358, -7805.630,   03, 16, 2012,  13,  16,  51 
 3256.326, -7805.602,   03, 16, 2012,  13,  27,  36 
 3256.282, -7805.589,   03, 16, 2012,  13,  53,  24 
 3256.263, -7805.592,   03, 16, 2012,  13,  59,  55 
 3256.144, -7805.571,   03, 16, 2012,  14,  24,  27 
 3256.151, -7805.797,   03, 16, 2012,  14,  50,  31 
 3256.146, -7805.796,   03, 16, 2012,  14,  52,  57 
 3256.138, -7805.797,   03, 16, 2012,  14,  56,  10 
 3255.842, -7804.342,   03, 16, 2012,  21,  04,  10 
 3255.964, -7804.874,   03, 17, 2012,  01,  06,  27 
 3256.540, -7805.937,   03, 17, 2012,  03,  08,  19 
 3259.312, -7808.934,   03, 17, 2012,  09,  02,  30 
 3259.402, -7809.379,   03, 17, 2012,  11,  04,  42 
 3259.454, -7809.538,   03, 17, 2012,  13,  05,  31 
 3302.448, -7813.724,   03, 17, 2012,  19,  03,  18 
 3303.319, -7814.531,   03, 17, 2012,  21,  02,  14 
 3304.040, -7815.453,   03, 18, 2012,  01,  20,  07 
 3306.018, -7816.704,   03, 18, 2012,  05,  20,  34 
 3307.724, -7818.932,   03, 18, 2012,  09,  20,  39 
 3307.503, -7819.436,   03, 18, 2012,  13,  24,  09 
 3308.007, -7819.384,   03, 18, 2012,  17,  24,  02 
 3310.317, -7821.264,   03, 18, 2012,  21,  23,  48 
 3309.535, -7819.826,   03, 19, 2012,  01,  20,  29 
 3308.548, -7818.043,   03, 19, 2012,  05,  23,  53 
 3308.493, -7818.953,   03, 19, 2012,  09,  23,  44 
 3307.631, -7818.166,   03, 19, 2012,  13,  25,  04 
 3306.588, -7816.266,   03, 19, 2012,  17,  21,  25 
 3306.626, -7817.392,   03, 19, 2012,  21,  22,  14 
 3305.391, -7816.625,   03, 20, 2012,  01,  25,  38 
 3304.126, -7814.604,   03, 20, 2012,  05,  22,  02 
 3304.150, -7815.392,   03, 20, 2012,  09,  21,  56 
 3303.101, -7813.439,   03, 20, 2012,  13,  25,  28 
 3301.312, -7811.590,   03, 20, 2012,  17,  21,  59 
 3300.746, -7811.818,   03, 20, 2012,  21,  23,  55 
 3259.345, -7811.172,   03, 21, 2012,  01,  24,  32 
 3258.834, -7810.163,   03, 21, 2012,  05,  26,  31 
 3258.002, -7809.949,   03, 21, 2012,  09,  24,  18 
 3256.537, -7808.195,   03, 21, 2012,  13,  23,  49 
 3256.408, -7808.985,   03, 21, 2012,  17,  28,  58 
 3256.258, -7806.787,   03, 22, 2012,  01,  27,  28 
 3254.318, -7804.943,   03, 22, 2012,  05,  33,  51 
 3254.490, -7803.761,   03, 22, 2012,  09,  26,  06 
 3254.490, -7803.761,   03, 22, 2012,  09,  26,  14 
 3253.649, -7804.244,   03, 22, 2012,  13,  28,  57 
 3253.853, -7801.910,   03, 22, 2012,  17,  23,  17 
 3253.390, -7805.592,   03, 22, 2012,  21,  32,  57 
 3254.055, -7805.223,   03, 23, 2012,  01,  24,  00 
 3254.108, -7808.016,   03, 23, 2012,  05,  32,  09 
 3253.870, -7807.563,   03, 23, 2012,  09,  24,  49 
 3254.755, -7810.405,   03, 23, 2012,  13,  26,  29 
 3254.755, -7810.405,   03, 23, 2012,  13,  26,  38 
 3254.983, -7809.274,   03, 23, 2012,  17,  32,  34 
 3256.964, -7811.432,   03, 23, 2012,  21,  27,  27 
 3259.790, -7813.292,   03, 24, 2012,  01,  24,  54 
 3300.069, -7812.817,   03, 24, 2012,  05,  25,  57 
 3301.762, -7814.338,   03, 24, 2012,  09,  28,  21 
 3303.895, -7815.855,   03, 24, 2012,  13,  29,  06 
 3303.637, -7815.828,   03, 24, 2012,  17,  25,  34 
 3305.139, -7817.158,   03, 24, 2012,  21,  24,  45 
 3307.999, -7819.156,   03, 25, 2012,  01,  29,  10 
 3308.515, -7819.073,   03, 25, 2012,  05,  26,  27 
 3309.698, -7820.024,   03, 25, 2012,  09,  29,  06 
 3308.196, -7817.542,   03, 25, 2012,  21,  28,  51 
 3309.136, -7817.560,   03, 26, 2012,  01,  29,  06 
 3308.763, -7816.330,   03, 26, 2012,  05,  28,  48 
 3306.729, -7815.894,   03, 26, 2012,  09,  27,  42 
 3306.050, -7815.601,   03, 26, 2012,  13,  27,  18 
 3304.351, -7814.813,   03, 26, 2012,  17,  29,  21 
 3302.086, -7813.001,   03, 27, 2012,  01,  28,  36 
 3257.192, -7818.060,   03, 27, 2012,  13,  28,  19 
 3256.723, -7817.740,   03, 27, 2012,  17,  29,  33 
 3256.387, -7818.552,   03, 27, 2012,  21,  27,  00 
 3256.313, -7819.403,   03, 28, 2012,  01,  26,  52 
 3256.313, -7819.403,   03, 28, 2012,  01,  26,  56 
 3255.736, -7817.729,   03, 28, 2012,  05,  30,  52 
 3254.307, -7815.499,   03, 28, 2012,  09,  31,  32 
 3254.332, -7814.586,   03, 28, 2012,  13,  32,  00 
 3254.074, -7812.648,   03, 28, 2012,  17,  30,  09 
 3253.347, -7810.199,   03, 28, 2012,  21,  31,  32 
 3256.454, -7814.141,   03, 29, 2012,  05,  30,  40 
 3258.468, -7813.088,   03, 29, 2012,  09,  29,  22 
 3302.712, -7810.180,   03, 29, 2012,  21,  31,  03 
 3303.807, -7810.833,   03, 30, 2012,  01,  29,  07 
 3304.892, -7810.971,   03, 30, 2012,  05,  30,  04 
 3304.144, -7810.353,   03, 30, 2012,  09,  29,  17 
 3303.846, -7811.188,   03, 30, 2012,  13,  31,  55 
 3304.211, -7813.160,   03, 30, 2012,  17,  31,  51 
 3303.887, -7814.130,   03, 30, 2012,  21,  30,  20 
 3306.006, -7816.165,   03, 31, 2012,  03,  17,  00 
 3306.858, -7817.683,   03, 31, 2012,  08,  18,  25 
 3307.447, -7818.174,   03, 31, 2012,  13,  20,  30 
 3309.571, -7820.527,   03, 31, 2012,  18,  21,  24 
 3310.778, -7818.964,   03, 31, 2012,  23,  17,  58 
 3311.034, -7819.781,   04, 01, 2012,  04,  21,  30 
 3310.526, -7820.903,   04, 01, 2012,  09,  19,  51 
 3309.799, -7820.230,   04, 01, 2012,  14,  21,  51 
 3309.124, -7820.812,   04, 01, 2012,  19,  18,  50 
 3306.269, -7820.250,   04, 02, 2012,  00,  20,  57 
 3306.556, -7821.521,   04, 02, 2012,  05,  22,  28 
 3305.426, -7820.892,   04, 02, 2012,  10,  20,  02 
 3306.481, -7820.261,   04, 02, 2012,  15,  19,  40 
 3306.008, -7821.341,   04, 02, 2012,  20,  19,  52 
 3304.264, -7818.988,   04, 03, 2012,  01,  22,  57 
 3304.212, -7819.538,   04, 03, 2012,  06,  22,  37 
 3302.409, -7822.664,   04, 03, 2012,  18,  30,  48 
 3303.008, -7823.186,   04, 03, 2012,  22,  35,  19 
